Date,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Winner,Umpire1,Umpire2
2008-06-06 05:33:39,Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire17,Umpire16
2010-06-16 16:44:50,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Chennai Super Kings,Umpire16,Umpire8
2014-10-15 17:04:51,Kings XI Punjab,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Kings XI Punjab,Umpire7,Umpire2
2013-05-30 21:35:54,Gujarat Titans,Kolkata Knight Riders,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire19,Umpire7
2020-05-17 06:50:31,Gujarat Titans,Kings XI Punjab,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire3,Umpire18
2023-08-25 11:03:02,Chennai Super Kings,Gujarat Titans,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,Umpire4,Umpire4
2014-02-22 05:13:07,Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Gujarat Titans,Umpire17,Umpire18
2009-11-12 16:53:11,Sunrisers Hyderabad,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,bat,Sunrisers Hyderabad,Umpire11,Umpire16
2009-09-12 07:47:11,Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire2,Umpire16
2009-11-22 09:53:41,Royal Challengers Bangalore,Gujarat Titans,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire11,Umpire12
2021-02-15 06:37:15,Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Mumbai Indians,field,Mumbai Indians,Umpire5,Umpire6
2007-09-15 21:59:24,Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire16,Umpire6
2023-10-23 07:21:38,Rajasthan Royals,Kings XI Punjab,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire16,Umpire6
2014-01-21 12:57:33,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Mumbai Indians,Umpire10,Umpire2
2013-01-24 18:59:20,Royal Challengers Bangalore,Rajasthan Royals,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire9,Umpire16
2007-06-21 21:47:29,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Umpire5,Umpire1
2016-08-25 05:44:13,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians,Umpire14,Umpire18
2013-05-14 15:31:23,Delhi Capitals,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,Umpire17,Umpire6
2020-11-18 14:15:33,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi Capitals,field,Mumbai Indians,Umpire18,Umpire10
2018-02-04 22:52:01,Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,Lucknow Super Giants,field,Mumbai Indians,Umpire15,Umpire6
2023-03-30 08:04:47,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Kings XI Punjab,Umpire16,Umpire16
2022-08-01 22:45:53,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire6,Umpire19
2014-03-15 21:26:22,Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire2,Umpire2
2008-12-20 11:05:57,Sunrisers Hyderabad,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire7,Umpire4
2022-07-14 13:50:46,Chennai Super Kings,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,Umpire12,Umpire3
2010-04-20 09:41:01,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire16,Umpire13
2023-06-26 02:12:35,Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,Umpire8,Umpire3
2016-12-20 23:16:50,Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans,Umpire4,Umpire6
2018-08-25 09:05:48,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,Umpire8,Umpire11
2023-08-31 13:04:47,Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,Umpire3,Umpire3
2023-12-19 07:10:28,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians,Umpire9,Umpire15
2011-07-17 05:35:12,Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire17,Umpire3
2023-03-26 20:23:50,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Chennai Super Kings,Umpire7,Umpire15
2010-11-19 10:11:22,Chennai Super Kings,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Chennai Super Kings,Umpire7,Umpire1
2016-10-24 14:36:33,Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Lucknow Super Giants,Umpire7,Umpire15
2015-11-02 13:17:57,Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Lucknow Super Giants,Umpire16,Umpire12
2009-10-16 10:34:19,Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,Umpire3,Umpire1
2016-06-23 15:40:50,Lucknow Super Giants,Sunrisers Hyderabad,Eden Gardens,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire1,Umpire16
2023-10-25 17:51:58,Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire11,Umpire16
2009-10-23 07:57:43,Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders,Umpire11,Umpire3
2010-08-20 07:13:46,Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire13,Umpire14
2011-06-27 01:28:55,Gujarat Titans,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Gujarat Titans,Umpire12,Umpire14
2018-08-13 00:15:46,Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,Umpire10,Umpire14
2011-02-21 18:40:41,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,bat,Kolkata Knight Riders,Umpire5,Umpire1
2012-10-08 11:54:28,Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire10,Umpire16
2008-01-21 04:31:22,Rajasthan Royals,Chennai Super Kings,Eden Gardens,Rajasthan Royals,field,Chennai Super Kings,Umpire3,Umpire19
2023-03-29 04:27:22,Rajasthan Royals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire10,Umpire7
2014-11-17 19:37:15,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,Umpire6,Umpire6
2024-05-10 09:00:00,Kings XI Punjab,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians,Umpire20,Umpire15
2012-09-07 01:05:15,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire6,Umpire14
2014-07-19 18:25:55,Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire15,Umpire18
2020-02-07 02:11:41,Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire9,Umpire11
2009-04-04 21:35:12,Kings XI Punjab,Mumbai Indians,M. Chinnaswamy Stadium,Kings XI Punjab,field,Mumbai Indians,Umpire6,Umpire19
2017-03-16 02:06:46,Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire13,Umpire15
2017-12-02 11:50:26,Rajasthan Royals,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Rajasthan Royals,Umpire16,Umpire13
2014-05-15 04:40:41,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire2,Umpire9
2021-06-09 19:55:47,Chennai Super Kings,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire18,Umpire7
2022-04-17 05:46:06,Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire5,Umpire18
2019-07-26 10:33:36,Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire13,Umpire16
2016-12-26 09:09:06,Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire10,Umpire12
2023-12-14 19:18:42,Kings XI Punjab,Chennai Super Kings,Eden Gardens,Kings XI Punjab,bat,Chennai Super Kings,Umpire18,Umpire17
2010-04-13 18:36:56,Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans,Umpire19,Umpire8
2014-06-24 19:48:23,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire2,Umpire7
2008-11-13 04:20:34,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,bat,Gujarat Titans,Umpire10,Umpire11
2018-02-12 18:01:07,Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire6,Umpire1
2008-05-02 03:37:44,Gujarat Titans,Sunrisers Hyderabad,Wankhede Stadium,Gujarat Titans,bat,Sunrisers Hyderabad,Umpire6,Umpire3
2011-06-11 23:38:28,Rajasthan Royals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals,Umpire5,Umpire20
2017-06-13 02:46:29,Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Chennai Super Kings,field,Royal Challengers Bangalore,Umpire14,Umpire7
2010-08-10 04:41:05,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata Knight Riders,bat,Lucknow Super Giants,Umpire20,Umpire18
2011-07-07 04:07:28,Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Chennai Super Kings,bat,Royal Challengers Bangalore,Umpire17,Umpire6
2018-04-14 04:22:16,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Mumbai Indians,Umpire1,Umpire12
2019-07-21 08:52:15,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire10,Umpire18
2017-11-27 11:46:58,Gujarat Titans,Delhi Capitals,Wankhede Stadium,Delhi Capitals,bat,Delhi Capitals,Umpire6,Umpire8
2008-01-18 21:43:13,Kolkata Knight Riders,Kings XI Punjab,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kings XI Punjab,Umpire9,Umpire14
2014-11-13 11:46:23,Lucknow Super Giants,Mumbai Indians,Arun Jaitley Stadium,Lucknow Super Giants,bat,Mumbai Indians,Umpire1,Umpire10
2021-01-19 06:01:34,Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Umpire6,Umpire13
2011-11-26 16:34:09,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire4,Umpire15
2010-04-11 04:36:40,Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Rajasthan Royals,Umpire15,Umpire11
2013-10-21 21:51:17,Sunrisers Hyderabad,Rajasthan Royals,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire14,Umpire7
2016-08-01 07:29:46,Rajasthan Royals,Kings XI Punjab,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,Umpire19,Umpire3
2010-10-16 22:50:42,Kings XI Punjab,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Kings XI Punjab,Umpire6,Umpire19
2010-11-24 09:37:16,Lucknow Super Giants,Gujarat Titans,Arun Jaitley Stadium,Lucknow Super Giants,field,Gujarat Titans,Umpire2,Umpire1
2011-01-12 04:45:54,Rajasthan Royals,Gujarat Titans,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,Umpire2,Umpire14
2011-09-08 17:54:36,Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire10,Umpire16
2009-06-06 06:45:32,Mumbai Indians,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,Umpire1,Umpire4
2012-01-24 05:29:31,Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Rajasthan Royals,Umpire8,Umpire15
2010-01-26 15:10:56,Delhi Capitals,Gujarat Titans,M. Chinnaswamy Stadium,Delhi Capitals,bat,Gujarat Titans,Umpire7,Umpire7
2011-05-26 00:01:39,Kings XI Punjab,Mumbai Indians,M. Chinnaswamy Stadium,Kings XI Punjab,field,Mumbai Indians,Umpire3,Umpire7
2012-02-04 16:04:09,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire13,Umpire7
2021-09-06 13:37:34,Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire17,Umpire14
2007-04-21 14:10:21,Lucknow Super Giants,Mumbai Indians,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire14,Umpire11
2011-12-01 20:47:23,Mumbai Indians,Gujarat Titans,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire1,Umpire8
2022-07-14 11:10:33,Kings XI Punjab,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire14,Umpire13
2013-01-09 01:37:12,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Lucknow Super Giants,Umpire20,Umpire12
2019-08-22 03:07:51,Kolkata Knight Riders,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Kolkata Knight Riders,Umpire8,Umpire10
2012-10-16 00:06:57,Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Kolkata Knight Riders,Umpire3,Umpire9
2011-10-09 23:01:34,Delhi Capitals,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire9,Umpire12
2010-07-09 09:18:13,Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Umpire18,Umpire8
2017-05-28 15:57:14,Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,field,Delhi Capitals,Umpire17,Umpire14
2022-09-22 19:01:49,Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire1,Umpire2
2014-03-29 02:26:43,Delhi Capitals,Gujarat Titans,Wankhede Stadium,Delhi Capitals,field,Delhi Capitals,Umpire15,Umpire7
2017-06-30 11:01:26,Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Rajasthan Royals,Umpire16,Umpire7
2020-09-23 08:43:13,Lucknow Super Giants,Delhi Capitals,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Delhi Capitals,Umpire18,Umpire15
2015-08-23 11:09:59,Mumbai Indians,Rajasthan Royals,Eden Gardens,Mumbai Indians,bat,Rajasthan Royals,Umpire9,Umpire6
2019-05-12 22:11:43,Kings XI Punjab,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire6,Umpire4
2015-03-12 11:18:51,Rajasthan Royals,Kolkata Knight Riders,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire17,Umpire4
2008-05-17 05:32:31,Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,Delhi Capitals,Umpire4,Umpire1
2013-01-27 19:10:59,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,Umpire15,Umpire2
2010-12-15 22:22:47,Gujarat Titans,Rajasthan Royals,Eden Gardens,Gujarat Titans,field,Gujarat Titans,Umpire16,Umpire18
2011-08-25 16:35:13,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire17,Umpire10
2009-02-13 06:11:15,Gujarat Titans,Sunrisers Hyderabad,Eden Gardens,Gujarat Titans,bat,Gujarat Titans,Umpire16,Umpire8
2012-05-28 17:59:01,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Delhi Capitals,Umpire14,Umpire2
2010-11-25 12:44:56,Lucknow Super Giants,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants,Umpire15,Umpire2
2011-02-23 04:00:55,Gujarat Titans,Rajasthan Royals,M. Chinnaswamy Stadium,Gujarat Titans,field,Rajasthan Royals,Umpire16,Umpire8
2023-04-21 21:09:30,Gujarat Titans,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Gujarat Titans,Umpire3,Umpire5
2012-05-24 05:50:07,Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire20,Umpire20
2012-02-25 01:32:40,Lucknow Super Giants,Rajasthan Royals,Eden Gardens,Lucknow Super Giants,field,Rajasthan Royals,Umpire12,Umpire11
2011-01-18 06:31:07,Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Lucknow Super Giants,field,Rajasthan Royals,Umpire13,Umpire8
2009-10-27 13:03:52,Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire16,Umpire20
2009-07-02 00:45:14,Lucknow Super Giants,Kings XI Punjab,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Kings XI Punjab,Umpire10,Umpire10
2013-10-20 12:11:59,Kings XI Punjab,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire20,Umpire8
2014-07-23 22:50:02,Gujarat Titans,Kolkata Knight Riders,Eden Gardens,Gujarat Titans,bat,Kolkata Knight Riders,Umpire6,Umpire16
2014-05-11 08:03:31,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire6,Umpire5
2009-03-16 09:06:32,Gujarat Titans,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Gujarat Titans,Umpire9,Umpire15
2018-11-04 01:33:56,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Delhi Capitals,Umpire16,Umpire19
2017-11-20 12:35:38,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire11,Umpire4
2015-07-14 21:00:39,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,field,Kolkata Knight Riders,Umpire5,Umpire1
2007-06-20 11:44:38,Kolkata Knight Riders,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,Umpire16,Umpire7
2009-08-13 06:55:23,Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals,Umpire13,Umpire11
2023-02-12 09:45:02,Sunrisers Hyderabad,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,Umpire8,Umpire14
2019-03-03 09:38:41,Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,Kolkata Knight Riders,bat,Sunrisers Hyderabad,Umpire4,Umpire10
2008-05-27 03:36:54,Gujarat Titans,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Gujarat Titans,Umpire11,Umpire16
2008-11-09 02:25:10,Lucknow Super Giants,Gujarat Titans,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire15,Umpire8
2019-06-08 13:24:32,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire11,Umpire16
2017-06-01 05:48:52,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,Umpire12,Umpire18
2015-06-04 11:28:50,Chennai Super Kings,Kings XI Punjab,Arun Jaitley Stadium,Kings XI Punjab,field,Chennai Super Kings,Umpire20,Umpire17
2008-05-12 18:00:12,Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire6,Umpire14
2009-08-30 01:58:09,Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Umpire17,Umpire15
2014-05-27 05:53:57,Royal Challengers Bangalore,Lucknow Super Giants,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Umpire5,Umpire8
2018-04-05 06:41:28,Lucknow Super Giants,Gujarat Titans,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Gujarat Titans,Umpire14,Umpire19
2020-08-09 22:15:33,Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Lucknow Super Giants,Umpire17,Umpire18
2007-05-27 05:49:07,Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Umpire10,Umpire10
2019-03-23 06:44:32,Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Mumbai Indians,field,Gujarat Titans,Umpire17,Umpire19
2010-02-12 14:59:37,Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Sunrisers Hyderabad,Umpire1,Umpire5
2012-09-26 17:46:01,Kings XI Punjab,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kings XI Punjab,bat,Kings XI Punjab,Umpire4,Umpire18
2023-06-09 10:25:02,Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Rajasthan Royals,field,Sunrisers Hyderabad,Umpire10,Umpire2
2020-10-10 06:40:15,Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants,Umpire15,Umpire5
2009-07-24 01:36:05,Lucknow Super Giants,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Lucknow Super Giants,Umpire14,Umpire1
2010-11-05 13:35:02,Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Kolkata Knight Riders,Umpire4,Umpire6
2010-02-26 05:11:44,Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire2,Umpire16
2015-03-09 22:40:17,Delhi Capitals,Gujarat Titans,M. Chinnaswamy Stadium,Gujarat Titans,field,Delhi Capitals,Umpire12,Umpire2
2011-05-21 05:32:53,Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Umpire10,Umpire3
2008-10-10 12:56:28,Chennai Super Kings,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Chennai Super Kings,Umpire13,Umpire2
2016-08-18 15:30:27,Lucknow Super Giants,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Lucknow Super Giants,Umpire14,Umpire19
2022-11-07 11:43:25,Sunrisers Hyderabad,Rajasthan Royals,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals,Umpire11,Umpire20
2019-07-08 00:36:44,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,Umpire4,Umpire9
2020-01-21 22:16:22,Gujarat Titans,Royal Challengers Bangalore,Eden Gardens,Gujarat Titans,field,Royal Challengers Bangalore,Umpire12,Umpire4
2016-02-03 03:37:45,Kings XI Punjab,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Kings XI Punjab,Umpire1,Umpire7
2017-01-18 20:35:11,Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Chennai Super Kings,bat,Gujarat Titans,Umpire19,Umpire2
2009-08-19 20:28:43,Kolkata Knight Riders,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Kolkata Knight Riders,Umpire19,Umpire12
2015-09-27 22:35:25,Gujarat Titans,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,Umpire12,Umpire9
2007-07-02 05:59:45,Gujarat Titans,Kings XI Punjab,M. Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,Umpire11,Umpire10
2009-08-16 09:13:32,Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Gujarat Titans,field,Mumbai Indians,Umpire15,Umpire18
2015-11-21 14:15:48,Lucknow Super Giants,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,Umpire16,Umpire9
2016-06-17 18:01:07,Sunrisers Hyderabad,Gujarat Titans,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Gujarat Titans,Umpire17,Umpire14
2020-03-30 00:26:30,Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Delhi Capitals,Umpire17,Umpire16
2021-05-22 11:32:43,Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,Umpire1,Umpire11
2016-03-22 01:55:24,Kings XI Punjab,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Kings XI Punjab,Umpire20,Umpire11
2019-02-27 23:52:21,Mumbai Indians,Chennai Super Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Mumbai Indians,Umpire12,Umpire7
2007-04-07 03:06:39,Lucknow Super Giants,Rajasthan Royals,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants,Umpire7,Umpire18
2007-07-18 11:40:56,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,Umpire2,Umpire10
